Computing Fundamentals,ENGR
Data Science & Engineering,ENGR
Digital Agriculture,ENGR
Electrical & Computer Engineering,ENGR
Electrical Engineering,ENGR
Electronic Materials,ENGR
Engineering,ENGR
Engineering Mechanics,ENGR
Engineering Physics,ENGR
Entrepreneurship & Innovation,ENGR
Environmental Engineering,ENGR
Environmental Engineering in Civil Engineering,ENGR
General Bioengineering,ENGR
Industrial Engineering,ENGR
"Innovation, Leadership, & Engineering Entrepreneurship",ENGR
Instrumentation and Applied Physics,ENGR
International Minor in Engineering,ENGR
Materials Engineering,ENGR
Materials Science & Engineering,ENGR
Materials Science & Engineering + Data Science,ENGR
Mechanical Engineering,ENGR
Neural Engineering,ENGR
"Nuclear, Plasma & Radiological Engineering",ENGR
"Nuclear, Plasma, and Radiological Engineering + Data Science",ENGR
Physics,ENGR
"Physics, Teaching of",ENGR
Plasma Engineering,ENGR
Semiconductor Engineering,ENGR
Systems & Entrepreneurial Engineering,ENGR
Systems Engineering and Design,ENGR
Theoretical & Applied Mechanics,ENGR
Chemical & Biomolecular Engineering,"ENGR, LAS"
Chemical Engineering,"ENGR, LAS"
Acting,FAA
Advanced Design Thinking,FAA
Architectural Studies,FAA
Architecture,FAA
Art & Design,FAA
Art Education,FAA
Art Undeclared,FAA
Arts & Entertainment Technology,FAA
Building Performance,FAA
Choral Music,FAA
Collaborative Piano,FAA
Community Based Art Education,FAA
Computer Science + Music,FAA
Costume Design & Technology,FAA
Creative Lyric Theatre,FAA
Dance,FAA
Design & Technology,FAA
Design for Responsible Innovation,FAA
Design of Tall Buildings,FAA
Detail and Fabrication,FAA
Fashion,FAA
Graphic Design,FAA
Health & Wellbeing,FAA
Health and Well-being for Designed Environments,FAA
Heritage Studies and Preservation,FAA
Hip Hop Culture and the Arts,FAA
Illustration,FAA
Industrial Design,FAA
Instrumental Conducting (Band),FAA
Instrumental Conducting (Orch),FAA
Instrumental Conducting (Wind Band),FAA
Instrumental Music,FAA
Interdisciplinary Practice,FAA
Japanese Arts and Aesthetics,FAA
Jazz Performance,FAA
Landscape Architecture,FAA
Landscape Studies,FAA
Lighting Design,FAA
Lyric Theatre,FAA
Minoritarian Aesthetics,FAA
Music,FAA
Music Composition,FAA
Music Education,FAA
Music Education: Technology,FAA
Music Technology,FAA
Music and Sound Studies,FAA
Musical Theatre,FAA
Musicology,FAA
New Media,FAA
Open Studies,FAA
Painting,FAA
Performance & Literature (Music),FAA
Performance Concentration,FAA
Photography,FAA
Piano Pedagogy,FAA
Printmaking,FAA
Regional Planning,FAA
Scenic Design,FAA
Scenic Technology,FAA
Sculpture,FAA
Sound Design & Technology,FAA
Stage Management,FAA
Structures,FAA
Studio Art,FAA
Sustainable Design,FAA
Sustainable Urban Design,FAA
Theatre,FAA
Urban Planning,FAA
Urban Studies Planning,FAA
Urbanism,FAA
Vocal Coaching & Accompanying,FAA
Voice Performance,FAA
Professional Science Master's,GRAD
Informatics,Info
Art,IS
Bioinformatics,IS
Design,IS
Game Development,IS
Game Studies,IS
Game Studies & Design,IS
Information Management,IS
Information Sciences,IS
Information Sciences + Data Science,IS
Library & Information Science,IS
Narrative,IS
Production,IS
Programming,IS
Actuarial Science,LAS
African American Studies,LAS
African Studies,LAS
American Indian & Indigenous Studies,LAS
American Indian Studies,LAS
Analytics,LAS
Anthropology,LAS
Applied Mathematics,LAS
Applied Statistics,LAS
Arabic Studies,LAS
Archaeology,LAS
Asian American Studies,LAS
Astronomy,LAS
Astronomy + Data Science,LAS
Astrophysics,LAS
Atmospheric Sciences,LAS
Balkan Studies,LAS
Biochemistry,LAS
Biological Anthropology,LAS
"Biological Sciences, Teaching of",LAS
Biology,LAS
Biomolecular Engineering,LAS
Biophysics & Quantitative Biology,LAS
Brazilian Studies,LAS
Cell & Developmental Biology,LAS
Chemical Engineering + Data Science,LAS
Chemistry,LAS
Chemistry Teaching,LAS
Civic Leadership,LAS
Classical Civilizations,LAS
Classical Languages,LAS
Classical Philology,LAS
Classics,LAS
Communication,LAS
Comparative & World Literature,LAS
Comparative Literature,LAS
Computer Science + Anthropology,LAS
Computer Science + Astronomy,LAS
Computer Science + Chemistry,LAS
Computer Science + Economics,LAS
Computer Science + Geography & Geographic Information Science,LAS
Computer Science + Linguistics,LAS
Computer Science + Philosophy,LAS
Creative Writing,LAS
"Criminology, Law, & Society",LAS
"CyberGIS and Geospatial Data Science, MS",LAS
Czech Studies,LAS
Data Optimization,LAS
Data Science,LAS
Developmental Psychopathology,LAS
Earth & Environmental Science,LAS
Earth Science Teaching,LAS
"Earth, Society, & Environmental Sustainability",LAS
East Asian Languages & Cultures,LAS
East Asian Languages Teaching,LAS
Ecological Community Psychology,LAS
Ecology & Conservation Biology,LAS
"Ecology, Evolution & Conservation Biology",LAS
Econometrics & Quantitative Economics,LAS
Economics,LAS
English,LAS
English as a Second Language,LAS
Enterprise Risk Management,LAS
Entomology,LAS
Environmental Chemistry,LAS
Environmental Geology,LAS
European Union Studies,LAS
"Evolution, Ecology, and Behavior",LAS
Financial and Insurance Analytics,LAS
French,LAS
French Studies,LAS
French Teaching,LAS
Gender & Women's Studies,LAS
General Geography,LAS
Geographic Information Science,LAS
Geography,LAS
Geography & Geographic Information Science,LAS
Geology,LAS
Geology & Geophysics,LAS
Geophysics,LAS
German,LAS
German Business & Commercial Studies,LAS
German Teaching,LAS
Germanic Studies,LAS
Global Markets & Society,LAS
Global Studies,LAS
Graduate Preparatory (Math),LAS
Greek,LAS
Health Communication,LAS
Hindi Studies,LAS
History,LAS
Human Geography Concentration,LAS
Individual Plans of Study,LAS
Integrative Biology,LAS
Integrative Biology Honors,LAS
Intellectual Property & Technology Law,LAS
Interdisciplinary Studies,LAS
International & Comparative Law,LAS
"Islamic World, Study of the",LAS
Italian,LAS
Jewish Studies,LAS
LGBT/Queer Studies,LAS
Language Studies (German),LAS
Latin,LAS
Latin American & Caribbean Studies,LAS
Latin American Studies,LAS
"Latin, Teaching of",LAS
Latina/Latino Studies,LAS
Linguistics,LAS
"Linguistics and Teaching English as a Second Language, BALAS (TESL)",LAS
Math Doctoral Preparation,LAS
Mathematics,LAS
Mathematics & Computer Science,LAS
Mathematics Teaching,LAS
Medieval Studies,LAS
Microbiology,LAS
Molecular & Cellular Biology,LAS
Molecular & Cellular Biology Honors,LAS
Molecular & Integrative Physiology,LAS
Molecular and Cellular Biology + Data Science,LAS
Museum Studies,LAS
Neuroscience,LAS
Philosophy,LAS
Physical Geography,LAS
Plant Biology,LAS
Policy Economics,LAS
Polish Studies Concentration,LAS
Political Science,LAS
Portuguese,LAS
Predictive Analytics and Risk Management,LAS
Psychological Science,LAS
Psychology,LAS
Queer Studies,LAS
Religion,LAS
Romance Linguistics,LAS
Russian & East European Studies,LAS
Russian Language & Literature,LAS
"Russian, East European & Eurasian Studies",LAS
Scandinavian Studies,LAS
Science of the Earth System,LAS
Second Language Acquisition & Teacher Education,LAS
"Slavic Language, Literature & Culture",LAS
Slavic Languages & Literatures,LAS
Slavic Studies,LAS
Social Science: History Teaching,LAS
Society & the Environment,LAS
Sociocultural & Linguistic Anthropology,LAS
Sociology,LAS
South Asian & Middle Eastern Studies,LAS
South Asian Studies,LAS
South Slavic Studies,LAS
Spanish,LAS
Spanish Linguistics,LAS
Spanish Literatures & Cultures,LAS
Spanish Teaching,LAS
Statistics,LAS
Statistics & Computer Science,LAS
Sub-Saharan African Languages,LAS
Translation & Interpreting,LAS
Ukrainian Studies,LAS
Weather And Climate Risk & Analysis,LAS
World Literatures,LAS
Writing Studies,LAS
English Teaching,LAS EDUC
Art History,"LAS, FAA"
"Corporate Law, Commercial Law, & Trade",LAW
Criminal Law,LAW
"Justice, Democracy, & Legal Rights",LAW
Law,LAW
Legal Studies,LAW
"Regulation, Sustainability, & Compliance",LAW
U.S. Legal Practice Skills,LAW
Compensation Best Practices,LER
Fundamentals of Human Resources,LER
Global Labor Studies,LER
Human Resources & Industrial Relations,LER
Human Resources Data Analytics,LER
Labor & Employment Relations,LER
Advertising,MDIA
Cinema Studies,MDIA
Communications & Media,MDIA
Computer Science + Advertising,MDIA
Critical Film Production,MDIA
Journalism,MDIA
Media,MDIA
Media & Cinema Studies,MDIA
Public Relations,MDIA
Strategic Brand Communication,MDIA
"Sustainability, Energy, and Environment",PROVOST
Advanced Clinical Practice,SOCW
Gender Relations in International Development,SOCW
Leadership & Social Change,SOCW
Schools Specialization,SOCW
Social Work,SOCW
Applied Veterinary Sciences,VETMED
Comparative Biosciences,VETMED
Livestock Systems Health,VETMED
Pathobiology,VETMED
Veterinary Medical Science - Comparative Biosciences,VETMED
Veterinary Medical Science - Pathobiology,VETMED
Veterinary Medical Sciences - Veterinary Clinical Medicine,VETMED
Veterinary Medicine,VETMED
